Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Aruba,ABW,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54894785,0.556844548,0.533570476,0.477516912,0.437550592,0.418398193,0.444303703,0.438174326,0.434712306,0.435108328,0.425777821,0.421318232,0.431336359,0.449521757,0.427988231,0.506252445,0.498384331,0.512418427,,
Andorra,AND,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.47194006,37.76544352,30.27167448,31.75099053,29.24973678,30.62285366,25.39474054,30.20560246,27.09154,24.50744042,24.60324707,23.55833617
Angola,AGO,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,13.54870728,14.38840516,12.85722713,15.91700513,19.14930445,17.93801129,24.02603715,10.13807452,11.55773601,6.646036025,7.312278655,7.026869166,9.002017942,13.03375828,6.290256828,5.664689564,8.156377022,9.358789154,9.519737537,9.181462107,8.489993816,7.664511109,7.860272469,6.642216007,10.2020848,9.8421845,9.289702794,9.919633664,10.83314039
Albania,ALB,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,33.60020622,32.40029857,31.69971064,34.10009753,33.09994072,34.6000124,34.00000012,33.20002479,31.49988184,32.30019749,35.90079022,39.29529522,51.64187024,54.64097648,53.62098062,55.81214471,33.02560989,33.62214704,32.60271937,29.50918524,29.13058321,26.95393762,26.31162202,23.99620713,23.49999893,22.8,22,20.65059602,19.42053473,19.40978082,20.65818885,20.95812373,21.82600433,21.82811256
Andean Region,ANR,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,7.230362765,6.963360968,6.773516333,6.787072193,5.925863337,6.273923816,6.232315028,6.479318538,6.527876225,6.713447908,7.825347553,8.739192031,9.085417536,9.407688202,9.303488185,9.454147401,9.301067864,9.152344624,9.143573364,9.046621384,8.71893124,9.208183977,8.650629536,9.599745912,9.045022621,8.070073279,8.437147226,8.149807939,7.889835166,7.730119403,7.040742772,6.861625198,6.372157677,5.571470639,6.54729241,6.060151136,5.914647604,6.198197991,
United Arab Emirates,ARE,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,0.540188294,0.545088281,0.485156878,0.629067481,0.547223178,0.490602457,0.548306765,0.640366458,0.730600582,0.84247151,0.925826535,1.184524144,1.143229342,1.197735192,1.193025792,1.058428475,1.297768008,1.378621078,1.480901077,1.830425017,1.787068305,1.792431872,2.004021865,2.180890491,2.333245197,2.262650093,2.238200162,2.203322589,1.927683933,1.665361909,1.395413347,1.094296321,0.976671168,0.827305411,1.031775479,0.851872841,0.730658579,0.735223953,
Argentina,ARG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,12.90416299,10.27858629,9.980386321,9.721276988,9.185892727,9.637560964,10.86594775,10.98486987,11.9525478,10.23083775,6.583910492,8.152170712,8.087142114,7.504427478,7.796277359,6.353505005,6.475522961,9.596156046,8.658324961,8.345976837,7.634307257,7.80040264,8.094358464,8.977868218,9.616065096,8.123676208,6.716491769,5.9907871,5.492024807,4.662412404,4.909063075,5.082520723,4.81158208,4.805017302,4.104074469,4.310081555,4.288049878,9.304636934,9.751272651,9.009673437,8.442570988,7.697516707,8.781106816,7.227886221,6.234805307,8.177986442,7.789211397,6.909453618,6.677821892
Armenia,ARM,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.37626972,24.97346072,31.04272063,51.36559092,44.8709973,42.25531295,36.82596272,31.96867743,33.99572797,29.46402128,25.54787016,28.32815471,25.96189882,23.68209805,24.6622,20.89251738,20.45109791,20.28206022,18.39812089,18.9138923,19.15305157,22.81541556,21.56509111,21.93756003
