,Data Source,World Development Indicators,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Country Name,Country Code,Indicator Name,Indicator Code,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0
2,Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330167597.7653632,1320670391.0614524,1379888268.1564245,1531843575.4189944,1665363128.49162,1722798882.681564,1873452513.9664805,1920262569.8324022,1941094972.067039,2021301675.9776535,2228279329.6089387,2331005586.592179,2421474860.3351955,2623726256.98324,2791960893.8547487,2498932960.8938546,2467703910.6145253,2584463687.150838,,
3,Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78617570.3229253,89406659.51401162,113414331.87094402,150841699.11076626,186557164.00867745,220112850.7759976,227284165.9251712,253998069.14523506,308020384.3959503,411548246.7611688,446377494.8804961,388983013.8974946,375914742.9181413,327849949.00320977,330073024.9372921,346742901.74338305,481996232.8858643,611300198.4591197,721426027.4753855,795489397.9640694,1028989439.4071459,1106890942.9884675,1209992604.2881737,1007090896.4373499,1017544619.0931627,1178745261.8282611,1224023469.6913595,1180646037.012739,1211953953.5615525,1239840265.6334488,1133644294.5424957,1264760246.4407477,1456198796.2938228,1917948475.275125,2322163502.262949,2539759285.9274735,2823503852.623283,3245411583.7196965,3712034266.5067363,,,,,
4,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.9111111,548888894.5777777,546666678.0444444,751111190.7555555,800000045.5111111,1006666638.2222222,1399999965.8666666,1673333418.6666667,1373333367.4666667,1408888923.0222223,1748886596.2666667,1831108972.088889,1595555475.911111,1733333265.0666666,2155555498.6666665,2366666615.4666667,2555555566.9333334,2953333418.6666665,3300000108.088889,3697940345.1417675,3641723447.1843305,3478787909.818182,,,,,,,,,,,,,,,,,,,,2461666314.7836623,4128818042.6174903,4583648921.743693,5285461998.978663,6275076015.722541,7057597615.295589,9843851008.65578,10190534636.495815,12486950468.736399,15936784436.18113,17870159081.514317,20506795254.35136,20724663536.824516
5,Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,6804278062.626638,6355849179.354579,7383121653.674131,7975234067.37627,9283054576.200602,10260193360.680582,12193746624.678879,5779394291.758196,5285600050.345497,4059577145.363031,5039534776.490204,7526446605.517117,7648377412.832772,6445041824.666213,6152922942.980315,9129594818.607492,8936079252.771315,12497346042.826115,14188949239.809456,19640862549.65114,28233699240.324924,41789494461.54611,60448890972.42176,84178086998.67084,75492417649.32759,82470894868.33368,104115863405.18286,115332111283.36195,121703638683.7441
6,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1924242456.2713356,1965384580.6464982,2173750016.0,2156624896.0,2126000000.0,2335124992.0,2101624960.0,1139166679.066498,709452572.6581022,1228071037.4133496,1985673025.8946106,2424498952.8812685,3013217852.5736566,2196223713.8104978,2727745453.082826,3434402453.410572,3686649387.0340533,4091020249.36656,4449373455.566316,5652325081.599631,7464446950.025594,8376483740.482892,9132562332.430243,10701011855.854223,12881352687.777521,12044212903.554083,11926953259.262877,12890867763.176767,12344532541.199392,12903854876.372377
7,Andean Region,ANR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,34291175545.46563,38079857054.64705,41571213466.603134,48203285874.66673,58066549841.07091,73920201407.86848,139501448389.43088,153859617144.4823,190473553818.32468,220223336992.7228,241374141367.98798,318906693046.0241,428929170030.3326,461083433877.7062,421843828488.6654,394631823209.6712,393719064617.0722,386205871011.42523,365685089546.2787,389035522496.3796,373746422949.02734,391737455498.2781,440701648316.72345,433480328824.9404,464076089538.0378,469808784953.99023,480353451745.83,515608802667.0845,569476529055.5138,605221434674.1648,587522471930.2456,634238912419.7689,726482166240.4768,713592132452.394,723967590069.8937,815604000418.0281,959515769024.6129,1176053155299.4426,1398793118340.8918,1638239716294.1575,2078747316042.0002,1792044350646.3572,2107575483831.6833,2501215006427.0312,2764413262585.3486,2850842554210.918
9,United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,14720672892.084324,19213022856.06175,24871774865.625732,23775831263.3068,31225462774.47317,43598747466.60169,49333424083.84849,46622718556.836914,42803323300.65872,41807954192.45851,40603650189.35147,33943612059.524734,36384908706.40221,36275674165.51871,41464995870.83179,50701443695.611336,51552165568.876045,54239171831.406654,55625170195.53437,59305093918.21544,65743666507.54771,73571233919.73517,78839008362.64038,75674338444.80699,84445475523.12662,104337375342.52573,103311643522.89236,109816204634.4936,124346361618.63904,147824374542.5169,180617023539.13654,222105928740.5958,257916140791.41693,315474644818.13635,254803438183.78302,287421818965.7583,348594945287.6959,383799194080.9083,
